name,type,category,sourceBlock,line,alreadyWindowExposed,neededGlobalByInlineHandler
DEFAULT_DATA,assign,state,main,4034,False,False
state,assign,state,main,4062,False,False
currentPage,assign,state,main,4078,False,False
RBAC,iife,rbac,main,4084,False,False
updateSidebarUserDisplay,function,rbac,main,4396,False,False
draggedTaskId,assign,state,main,4414,False,False
kanbanDraggedId,assign,kanban,main,4415,False,False
kanbanDraggedSubtask,assign,kanban,main,4416,False,False
charts,assign,state,main,4417,False,False
FirebaseDB,iife,firebase,main,4424,False,False
RealtimeSync,iife,sync,main,4816,False,False
PendingSyncQueue,iife,sync,main,5283,False,False
SyncState,iife,sync,main,5393,False,False
DebounceWrite,iife,sync,main,5408,False,False
_refreshSyncDotForEntity,function,sync,main,5451,False,False
_retrySingleEntity,function,sync,main,5466,False,True
loadState,function,state,main,5529,False,False
SaveManager,iife,sync,main,5561,False,False
saveState,function,sync,main,5597,False,False
saveStateImmediate,function,sync,main,5602,False,False
resetData,function,state,main,5607,False,True
_domCache,assign,utils-core,main,5616,False,False
$el,function,utils-core,main,5617,False,False
_clearDomCache,function,utils-core,main,5626,False,False
_userMap,assign,utils-core,main,5629,False,False
_invalidateMaps,function,utils-core,main,5630,False,False
getProject,function,utils-core,main,5632,False,False
getUser,function,utils-core,main,5636,False,False
getSprint,function,utils-core,main,5640,False,False
getTask,function,utils-core,main,5644,False,False
getEpic,function,epics,main,5648,False,False
invalidateStateMaps,function,utils-core,main,5653,False,False
_chartFingerprints,assign,charts,main,5656,False,False
_chartDataChanged,function,charts,main,5657,False,False
_invalidateChartFingerprints,function,charts,main,5663,False,False
_makeDebounce,function,main-bootstrap,main,5666,False,False
_addPassiveListener,function,main-bootstrap,main,5675,False,False
_rptFilterTimer,assign,reports,main,5681,False,False
_debouncedRenderReports,function,main-bootstrap,main,5682,False,False
_kanbanFilterTimer,assign,kanban,main,5688,False,False
_debouncedRenderKanban,function,main-bootstrap,main,5689,False,True
_backlogPlannerFilterTimer,assign,backlog-planner,main,5695,False,False
_debouncedRenderBacklogPlanner,function,main-bootstrap,main,5696,False,True
_sprintPlanFilterTimer,assign,sprint-planning,main,5702,False,False
_debouncedRenderSprintPlanning,function,main-bootstrap,main,5703,False,True
_spOnProjectFilterChange,function,sprint-planning,main,5709,False,True
_spSyncLabel,function,sprint-planning,main,5733,False,False
_epicsFilterTimer,assign,epics,main,5746,False,False
_debouncedRenderEpics,function,main-bootstrap,main,5747,False,True
_releaseBoardTimer,assign,releases,main,5753,False,False
_debouncedRenderReleaseBoard,function,main-bootstrap,main,5754,False,True
uid,function,utils-core,main,5759,False,False
stid,function,utils-core,main,5760,False,False
spid,function,utils-core,main,5761,False,False
ppid,function,utils-core,main,5762,False,False
muid,function,utils-core,main,5763,False,False
epid,function,utils-core,main,5764,False,False
_now,function,utils-core,main,5767,False,False
_qaPointsFor,function,task-domain-utils,main,5774,False,False
_qaUserPoints,function,task-domain-utils,main,5786,False,False
_qaItemBelongsTo,function,task-domain-utils,main,5790,False,False
cleanupEpicReferences,function,epics,main,5800,False,False
cleanupSprintReferences,function,task-domain-utils,main,5818,False,False
cleanupReleaseReferences,function,releases,main,5846,False,False
cleanupMemberReferences,function,task-domain-utils,main,5862,False,False
getEpicTasks,function,epics,main,5883,False,False
getEpicProgress,function,epics,main,5884,False,False
getEpicStoryPoints,function,epics,main,5894,False,False
epicStatusBadgeClass,function,task-domain-utils,main,5900,False,False
initials,function,utils-core,main,5905,False,False
randomColor,function,utils-core,main,5908,False,False
priorityColor,function,utils-core,main,5912,False,False
typeIcon,function,utils-core,main,5915,False,False
typeColor,function,utils-core,main,5918,False,False
formatDate,function,utils-core,main,5921,False,False
formatDateTime,function,utils-core,main,5926,False,False
_captureCreator,function,description-editor,main,5930,False,False
_createdByLabel,function,description-editor,main,5941,False,False
sprintDaysLeft,function,task-domain-utils,main,5948,False,False
sprintProgress,function,task-domain-utils,main,5952,False,False
userAvatar,function,task-domain-utils,main,5960,False,False
_initDescEditor,function,description-editor,main,5968,False,False
_sanitizeDescHTML,function,description-editor,main,6030,False,False
_getDescValue,function,description-editor,main,6065,False,False
_setDescValue,function,description-editor,main,6080,False,False
_MAX_NOTIFS,assign,notifications,main,6088,False,False
showNotif,function,utils,main,6089,False,True
applyRbacUI,function,rbac,main,6109,False,False
navigate,function,main-bootstrap,main,6147,False,True
_renderPageInProgress,assign,main-bootstrap,main,6182,False,False
renderPage,function,main-bootstrap,main,6183,False,False
_refreshAllTimer,assign,main-bootstrap,main,6215,False,False
refreshAll,function,main-bootstrap,main,6217,False,False
toggleSidebar,function,main-bootstrap,main,6254,False,True
updateSidebarProject,function,projects,main,6268,False,False
showProjectSwitcher,function,projects,main,6276,False,False
_getCtx,function,charts,main,6301,False,False
destroyCharts,function,charts,main,6308,False,False
_populateDashboardFilters,function,charts,main,6314,False,False
getRoleScopedAnalyticsData,function,task-domain-utils,main,6368,False,False
_sfDropRegistry,assign,sf-dropdown-widget,main,6458,False,False
_sfDropRegister,function,sf-dropdown-widget,main,6460,False,False
_sfDropGetOrCreate,function,sf-dropdown-widget,main,6464,False,False
_sfDropPosition,function,sf-dropdown-widget,main,6477,False,False
_sfDropToggle,function,sf-dropdown-widget,main,6493,False,True
_sfDropSelect,function,sf-dropdown-widget,main,6510,False,True
_sfAttrStr,function,sf-dropdown-widget,main,6531,False,True
_sfDropBuild,function,sf-dropdown-widget,main,6535,False,False
_sfDropSyncLabel,function,sf-dropdown-widget,main,6553,False,False
_dashSprintGetOrCreateDrop,function,dashboard,main,6618,False,False
_dashSprintDropToggle,function,dashboard,main,6620,False,True
_dashSprintSelect,function,dashboard,main,6622,False,False
renderDashboard,function,dashboard,main,6624,False,True
renderProjects,function,project-cards,main,6961,False,False
